,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
19,Paxten Aaronson,"$ 1,683","$ 87,500",AM,17,Reserve,"Dec 31, 2021",1-yr,"$ 87,500",Philadelphia Union,Mls,2021
20,Cole Turner,"$ 1,643","$ 85,444",DM,19,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Philadelphia Union,Mls,2021
21,Nathan Harriel,"$ 1,346","$ 70,000",RB,20,Reserve,"Dec 31, 2021",1-yr,"$ 70,000",Philadelphia Union,Mls,2021
22,Brandan Craig,"$ 1,250","$ 65,000",CB,17,Reserve,"Dec 31, 2021",1-yr,"$ 65,000",Philadelphia Union,Mls,2021
23,Jack McGlynn,"$ 1,250","$ 64,992",CM,17,Reserve,"Dec 31, 2021",1-yr,"$ 64,992",Philadelphia Union,Mls,2021
24,Quinn Sullivan,"$ 1,222","$ 63,547",AM,17,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Philadelphia Union,Mls,2021
25,Dániel Gazdag,$ 0,$ 0,AM,25,Reserve,"Dec 31, 2022",2-yrs,$ 0,Philadelphia Union,Mls,2021
26,Leon Flach,$ 0,$ 0,CM,20,Starter,"Dec 31, 2022",2-yrs,$ 0,Philadelphia Union,Mls,2021
27,Greg Ranjitsingh,$ 0,$ 0,GK,27,Reserve,"Dec 31, 2021",1-yr,$ 0,Philadelphia Union,Mls,2021
28,Aurélien Collin,$ 0,$ 0,CB,35,Reserve,"Dec 31, 2021",1-yr,$ 0,Philadelphia Union,Mls,2021
0,Sebastián Blanco,"$ 42,308","$ 2,200,000",LW,33,Reserve,"Dec 31, 2021",1-yr,"$ 2,200,000",Portland Timbers,Mls,2021
1,Yimmi Chará,"$ 23,077","$ 1,200,000",RW,30,Reserve,"Dec 31, 2021",1-yr,"$ 1,200,000",Portland Timbers,Mls,2021
2,Felipe Mora,"$ 15,865","$ 825,000",CF,27,Starter,"Dec 31, 2024",4-yrs,"$ 3,300,000",Portland Timbers,Mls,2021
3,Diego Váleri,"$ 14,712","$ 765,000",AM,35,Starter,"Dec 31, 2021",1-yr,"$ 765,000",Portland Timbers,Mls,2021
4,Jaroslaw Niezgoda,"$ 14,221","$ 739,500",CF,26,Reserve,"Dec 31, 2023",3-yrs,"$ 2,218,500",Portland Timbers,Mls,2021
5,Diego Chará,"$ 12,500","$ 650,000",CM,35,Starter,"Dec 31, 2021",1-yr,"$ 650,000",Portland Timbers,Mls,2021
6,Jeremy Ebobisse,"$ 11,538","$ 600,000",CF,24,Reserve,"Dec 31, 2021",1-yr,"$ 600,000",Portland Timbers,Mls,2021
7,Dario Zuparic,"$ 10,096","$ 525,000",CB,29,Starter,"Dec 31, 2021",1-yr,"$ 525,000",Portland Timbers,Mls,2021
8,Andy Polo,"$ 9,615","$ 500,000",RW,26,Reserve,"Dec 31, 2021",1-yr,"$ 500,000",Portland Timbers,Mls,2021
9,Larrys Mabiala,"$ 8,654","$ 450,000",CB,33,Starter,"Dec 31, 2021",1-yr,"$ 450,000",Portland Timbers,Mls,2021
10,Claudio Bravo,"$ 5,769","$ 300,000",LB,24,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Portland Timbers,Mls,2021
11,Dairon Asprilla,"$ 5,288","$ 275,000",RW,28,Starter,"Dec 31, 2021",1-yr,"$ 275,000",Portland Timbers,Mls,2021
12,Cristhian Paredes,"$ 4,846","$ 252,000",CM,22,Reserve,"Dec 31, 2021",1-yr,"$ 252,000",Portland Timbers,Mls,2021
13,Steve Clark,"$ 4,808","$ 250,000",GK,35,Reserve,"Dec 31, 2021",1-yr,"$ 250,000",Portland Timbers,Mls,2021
14,Aljaz Ivacic,"$ 4,327","$ 225,000",GK,27,Reserve,"Dec 31, 2021",1-yr,"$ 225,000",Portland Timbers,Mls,2021
15,Eryk Williamson,"$ 4,231","$ 220,000",CM,23,Starter,"Dec 31, 2021",1-yr,"$ 220,000",Portland Timbers,Mls,2021
16,Bill Tuiloma,"$ 4,231","$ 220,000",CB,26,Reserve,"Dec 31, 2021",1-yr,"$ 220,000",Portland Timbers,Mls,2021
17,Jeff Attinella,"$ 2,077","$ 108,000",GK,32,Starter,"Dec 31, 2021",1-yr,"$ 108,000",Portland Timbers,Mls,2021
18,Josecarlos van Rankin,"$ 2,024","$ 105,255",RB,28,Reserve,"Dec 31, 2021",1-yr,"$ 105,255",Portland Timbers,Mls,2021
19,Pablo Bonilla,"$ 1,643","$ 85,444",RB,21,Starter,"Dec 31, 2021",1-yr,"$ 85,444",Portland Timbers,Mls,2021
20,Renzo Zambrano,"$ 1,643","$ 85,444",CM,26,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Portland Timbers,Mls,2021
21,Ismaila Jome,"$ 1,565","$ 81,375",LB,26,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Portland Timbers,Mls,2021
22,Marvin Loría,"$ 1,565","$ 81,375",RW,24,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Portland Timbers,Mls,2021
23,Blake Bodily,"$ 1,295","$ 67,360",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 67,360",Portland Timbers,Mls,2021
24,Zac McGraw,"$ 1,283","$ 66,724",CB,23,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Portland Timbers,Mls,2021
25,Hunter Sulte,"$ 1,222","$ 63,547",GK,19,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Portland Timbers,Mls,2021
0,Albert Rusnák,"$ 41,346","$ 2,150,000",AM,26,Starter,"Dec 31, 2021",1-yr,"$ 2,150,000",Real Salt Lake,Mls,2021
1,Damir Kreilach,"$ 23,077","$ 1,200,000",CM,32,Starter,"Dec 31, 2022",2-yrs,"$ 2,400,000",Real Salt Lake,Mls,2021
2,Everton Luiz,"$ 22,308","$ 1,160,000",DM,32,Starter,"Dec 31, 2021",1-yr,"$ 1,160,000",Real Salt Lake,Mls,2021
3,Justen Glad,"$ 11,538","$ 600,000",CB,24,Starter,"Dec 31, 2021",1-yr,"$ 600,000",Real Salt Lake,Mls,2021
4,Marcelo Silva,"$ 10,577","$ 550,000",CB,32,Starter,"Dec 31, 2021",1-yr,"$ 550,000",Real Salt Lake,Mls,2021
5,Justin Meram,"$ 9,615","$ 500,000",LW,32,Reserve,"Dec 31, 2021",1-yr,"$ 500,000",Real Salt Lake,Mls,2021
6,Anderson Julio,"$ 7,731","$ 402,000",RW,24,Starter,"Dec 31, 2021",1-yr,"$ 402,000",Real Salt Lake,Mls,2021
7,Pablo Ruiz,"$ 7,212","$ 375,000",CM,22,Starter,"Dec 31, 2021",1-yr,"$ 375,000",Real Salt Lake,Mls,2021
8,Jeizon Ramírez,"$ 6,923","$ 360,000",RM,20,Reserve,"Dec 31, 2021",1-yr,"$ 360,000",Real Salt Lake,Mls,2021
9,Aaron Herrera,"$ 6,058","$ 315,000",RB,23,Reserve,"Dec 31, 2023",3-yrs,"$ 945,000",Real Salt Lake,Mls,2021
10,Zac MacMath,"$ 3,846","$ 200,000",GK,29,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",Real Salt Lake,Mls,2021
11,Donny Toia,"$ 3,846","$ 200,000",LB,28,Starter,"Dec 31, 2021",1-yr,"$ 200,000",Real Salt Lake,Mls,2021
12,Nick Besler,"$ 3,221","$ 167,500",CM,28,Reserve,"Dec 31, 2021",1-yr,"$ 167,500",Real Salt Lake,Mls,2021
13,Andrew Putna,"$ 2,692","$ 140,000",GK,26,Reserve,"Dec 31, 2021",1-yr,"$ 140,000",Real Salt Lake,Mls,2021
14,Rubio Rubin,"$ 2,596","$ 135,000",CF,25,Starter,"Dec 31, 2021",1-yr,"$ 135,000",Real Salt Lake,Mls,2021
15,Ashtone Morgan,"$ 2,538","$ 132,000",LB,30,Reserve,"Dec 31, 2021",1-yr,"$ 132,000",Real Salt Lake,Mls,2021
16,Milan Iloski,"$ 2,308","$ 120,000",CF,21,Reserve,"Dec 31, 2021",1-yr,"$ 120,000",Real Salt Lake,Mls,2021
17,Tate Schmitt,"$ 1,731","$ 90,000",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",Real Salt Lake,Mls,2021
18,Erik Holt,"$ 1,731","$ 90,000",CB,24,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",Real Salt Lake,Mls,2021
19,David Ochoa,"$ 1,731","$ 90,000",GK,20,Starter,"Dec 31, 2021",1-yr,"$ 90,000",Real Salt Lake,Mls,2021
20,Justin Portillo,"$ 1,643","$ 85,444",DM,28,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Real Salt Lake,Mls,2021
21,Christopher Garcia,"$ 1,643","$ 85,444",RW,18,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Real Salt Lake,Mls,2021
22,Maikel Chang,"$ 1,643","$ 85,444",RM,30,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Real Salt Lake,Mls,2021
23,Andrew Brody,"$ 1,565","$ 81,375",RB,26,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Real Salt Lake,Mls,2021
24,Bret Halsey,"$ 1,565","$ 81,375",RB,22,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Real Salt Lake,Mls,2021
25,Douglas Martínez,"$ 1,565","$ 81,375",CF,23,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Real Salt Lake,Mls,2021
26,Jeff Dewsnup,"$ 1,222","$ 63,547",GK,16,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Real Salt Lake,Mls,2021
27,Bode Davis,"$ 1,222","$ 63,547",LM,19,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Real Salt Lake,Mls,2021
28,Noah Powder,"$ 1,222","$ 63,547",LB,22,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Real Salt Lake,Mls,2021
29,Bobby Wood,$ 0,$ 0,CF,28,Reserve,"Dec 31, 2023",3-yrs,$ 0,Real Salt Lake,Mls,2021
0,Cristian Espinoza,"$ 22,115","$ 1,150,000",RW,26,Starter,"Dec 31, 2021",1-yr,"$ 1,150,000",San Jose Earthquakes,Mls,2021
1,Andrés Ríos,"$ 16,731","$ 870,000",CF,31,Reserve,"Dec 31, 2021",1-yr,"$ 870,000",San Jose Earthquakes,Mls,2021
2,Javier López,"$ 16,538","$ 860,000",AM,26,Starter,"Jun 30, 2022",1-yr,"$ 860,000",San Jose Earthquakes,Mls,2021
3,Carlos Fierro,"$ 16,346","$ 850,000",LW,26,Starter,"Dec 31, 2021",1-yr,"$ 850,000",San Jose Earthquakes,Mls,2021
4,Oswaldo Alanís,"$ 12,115","$ 630,000",CB,32,Starter,"Dec 31, 2021",1-yr,"$ 630,000",San Jose Earthquakes,Mls,2021
5,Jackson Yueill,"$ 11,538","$ 600,000",CM,24,Starter,"Dec 31, 2021",1-yr,"$ 600,000",San Jose Earthquakes,Mls,2021
6,Florian Jungwirth,"$ 10,096","$ 525,000",CB,32,Starter,"Dec 31, 2021",1-yr,"$ 525,000",San Jose Earthquakes,Mls,2021
7,Eric Remedi,"$ 8,654","$ 450,000",DM,25,Starter,"Dec 31, 2021",1-yr,"$ 450,000",San Jose Earthquakes,Mls,2021
8,Chris Wondolowski,"$ 7,500","$ 390,000",CF,38,Reserve,"Dec 31, 2021",1-yr,"$ 390,000",San Jose Earthquakes,Mls,2021
9,Luciano Abecasis,"$ 7,308","$ 380,000",RB,30,Reserve,"Dec 31, 2021",1-yr,"$ 380,000",San Jose Earthquakes,Mls,2021
10,Judson,"$ 6,923","$ 360,000",DM,27,Reserve,"Dec 31, 2021",1-yr,"$ 360,000",San Jose Earthquakes,Mls,2021
11,Marcos López,"$ 6,346","$ 330,000",LB,21,Reserve,"Dec 31, 2021",1-yr,"$ 330,000",San Jose Earthquakes,Mls,2021
12,Shea Salinas,"$ 5,385","$ 280,000",LW,34,Reserve,"Dec 31, 2021",1-yr,"$ 280,000",San Jose Earthquakes,Mls,2021
13,Tommy Thompson,"$ 5,096","$ 265,000",RB,25,Starter,"Dec 31, 2021",1-yr,"$ 265,000",San Jose Earthquakes,Mls,2021
14,Daniel Vega,"$ 4,231","$ 220,000",GK,36,Reserve,"Dec 31, 2021",1-yr,"$ 220,000",San Jose Earthquakes,Mls,2021
15,Eric Calvillo,"$ 3,269","$ 170,000",CM,23,Reserve,"Dec 31, 2021",1-yr,"$ 170,000",San Jose Earthquakes,Mls,2021
16,JT Marcinkowski,"$ 3,173","$ 165,000",GK,24,Starter,"Dec 31, 2021",1-yr,"$ 165,000",San Jose Earthquakes,Mls,2021
17,Cade Cowell,"$ 2,308","$ 120,000",CF,17,Starter,"Dec 31, 2021",1-yr,"$ 120,000",San Jose Earthquakes,Mls,2021
18,Matt Bersano,"$ 2,046","$ 106,375",GK,28,Reserve,"Dec 31, 2021",1-yr,"$ 106,375",San Jose Earthquakes,Mls,2021
19,Jacob Akanyirige,"$ 2,019","$ 105,000",RB,19,Reserve,"Dec 31, 2021",1-yr,"$ 105,000",San Jose Earthquakes,Mls,2021
20,Siad Haji,"$ 1,827","$ 95,000",RW,21,Reserve,"Dec 31, 2021",1-yr,"$ 95,000",San Jose Earthquakes,Mls,2021
21,Tanner Beason,"$ 1,731","$ 90,000",CB,24,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",San Jose Earthquakes,Mls,2021
22,Paul Marie,"$ 1,565","$ 81,375",RB,26,Starter,"Dec 31, 2021",1-yr,"$ 81,375",San Jose Earthquakes,Mls,2021
23,Jack Skahan,"$ 1,283","$ 66,724",CM,23,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",San Jose Earthquakes,Mls,2021
24,Emmanuel Ochoa,"$ 1,250","$ 65,000",GK,16,Reserve,"Dec 31, 2021",1-yr,"$ 65,000",San Jose Earthquakes,Mls,2021
25,Benjamin Kikanovic,"$ 1,222","$ 63,547",CF,21,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",San Jose Earthquakes,Mls,2021
0,Nicolás Lodeiro,"$ 40,769","$ 2,120,000",AM,32,Reserve,"Dec 31, 2023",3-yrs,"$ 6,360,000",Seattle Sounders,Mls,2021
1,Raúl Ruidíaz,"$ 40,385","$ 2,100,000",CF,30,Starter,"Dec 31, 2021",1-yr,"$ 2,100,000",Seattle Sounders,Mls,2021
2,João Paulo,"$ 19,231","$ 1,000,000",AM,30,Starter,"Dec 31, 2021",1-yr,"$ 1,000,000",Seattle Sounders,Mls,2021
3,Cristian Roldán,"$ 14,615","$ 760,000",CM,25,Starter,"Dec 31, 2021",1-yr,"$ 760,000",Seattle Sounders,Mls,2021
4,Brad Smith,"$ 10,096","$ 525,000",LB,27,Starter,"Dec 31, 2021",1-yr,"$ 525,000",Seattle Sounders,Mls,2021
5,Stefan Frei,"$ 9,615","$ 500,000",GK,35,Starter,"Dec 31, 2021",1-yr,"$ 500,000",Seattle Sounders,Mls,2021
6,Will Bruin,"$ 8,654","$ 450,000",CF,31,Starter,"Dec 31, 2021",1-yr,"$ 450,000",Seattle Sounders,Mls,2021
7,Xavier Arreaga,"$ 7,569","$ 393,600",CB,26,Starter,"Dec 31, 2021",1-yr,"$ 393,600",Seattle Sounders,Mls,2021
8,Yeimar Gómez Andrade,"$ 5,769","$ 300,000",CB,28,Reserve,"Dec 31, 2022",2-yrs,"$ 600,000",Seattle Sounders,Mls,2021
9,Kelyn Rowe,"$ 3,462","$ 180,000",CM,29,Reserve,"Dec 31, 2021",1-yr,"$ 180,000",Seattle Sounders,Mls,2021
10,Jimmy Medranda,"$ 3,462","$ 180,000",LB,27,Reserve,"Dec 31, 2021",1-yr,"$ 180,000",Seattle Sounders,Mls,2021
11,Jordy Delem,"$ 3,365","$ 175,000",DM,28,Reserve,"Dec 31, 2021",1-yr,"$ 175,000",Seattle Sounders,Mls,2021
12,Nouhou Tolo,"$ 2,404","$ 125,000",LB,23,Starter,"Dec 31, 2021",1-yr,"$ 125,000",Seattle Sounders,Mls,2021
13,Shane O'Neill,"$ 2,212","$ 115,000",CB,27,Starter,"Dec 31, 2021",1-yr,"$ 115,000",Seattle Sounders,Mls,2021
14,Stefan Cleveland,"$ 1,853","$ 96,375",GK,26,Reserve,"Dec 31, 2021",1-yr,"$ 96,375",Seattle Sounders,Mls,2021
15,Alex Roldán,"$ 1,800","$ 93,581",RB,24,Starter,"Dec 31, 2021",1-yr,"$ 93,581",Seattle Sounders,Mls,2021
16,Alfonso Ocampo-Chávez,"$ 1,565","$ 81,375",CF,19,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Seattle Sounders,Mls,2021
17,Spencer Richey,"$ 1,565","$ 81,375",GK,28,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Seattle Sounders,Mls,2021
18,Fredy Montero,"$ 1,565","$ 81,375",CF,33,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Seattle Sounders,Mls,2021
19,Danny Leyva,"$ 1,565","$ 81,375",DM,18,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Seattle Sounders,Mls,2021
20,Ethan Dobbelaere,"$ 1,295","$ 67,360",RM,18,Reserve,"Dec 31, 2021",1-yr,"$ 67,360",Seattle Sounders,Mls,2021
21,Josh Atencio,"$ 1,222","$ 63,547",DM,19,Starter,"Dec 31, 2021",1-yr,"$ 63,547",Seattle Sounders,Mls,2021
22,Reed Baker-Whiting,$ 0,$ 0,CM,16,Reserve,"Dec 31, 2024",4-yrs,$ 0,Seattle Sounders,Mls,2021
0,Alan Pulido,"$ 42,308","$ 2,200,000",CF,30,Starter,"Dec 31, 2023",3-yrs,"$ 6,600,000",Sporting Kc,Mls,2021
1,Johnny Russell,"$ 30,769","$ 1,600,000",RW,31,Reserve,"Dec 31, 2021",1-yr,"$ 1,600,000",Sporting Kc,Mls,2021
2,Andreu Fontàs,"$ 21,635","$ 1,125,000",CB,31,Starter,"Dec 31, 2022",2-yrs,"$ 2,250,000",Sporting Kc,Mls,2021
3,Ilie Sánchez,"$ 19,231","$ 1,000,000",DM,30,Starter,"Dec 31, 2021",1-yr,"$ 1,000,000",Sporting Kc,Mls,2021
4,Nicolas Isimat-Mirin,"$ 18,269","$ 950,000",CB,29,Starter,"Dec 31, 2022",2-yrs,"$ 1,900,000",Sporting Kc,Mls,2021
5,Gadi Kinda,"$ 16,346","$ 850,000",AM,27,Starter,"Dec 31, 2024",4-yrs,"$ 3,400,000",Sporting Kc,Mls,2021
6,Khiry Shelton,"$ 12,500","$ 650,000",CF,27,Starter,"Dec 31, 2022",2-yrs,"$ 1,300,000",Sporting Kc,Mls,2021
7,Graham Zusi,"$ 12,500","$ 650,000",RB,34,Reserve,"Dec 31, 2021",1-yr,"$ 650,000",Sporting Kc,Mls,2021
8,Rémi Walter,"$ 12,500","$ 650,000",CM,26,Reserve,"Dec 31, 2023",3-yrs,"$ 1,950,000",Sporting Kc,Mls,2021
9,Roberto Puncec,"$ 11,058","$ 575,000",CB,29,Reserve,"Dec 31, 2021",1-yr,"$ 575,000",Sporting Kc,Mls,2021
10,Róger Espinoza,"$ 9,615","$ 500,000",CM,34,Starter,"Dec 31, 2021",1-yr,"$ 500,000",Sporting Kc,Mls,2021
11,Tim Melia,"$ 9,615","$ 500,000",GK,35,Reserve,"Dec 31, 2022",2-yrs,"$ 1,000,000",Sporting Kc,Mls,2021
12,Dániel Sallói,"$ 7,692","$ 400,000",LW,24,Starter,"Dec 31, 2021",1-yr,"$ 400,000",Sporting Kc,Mls,2021
13,Luís Martins,"$ 6,538","$ 340,000",LB,28,Starter,"Dec 31, 2021",1-yr,"$ 340,000",Sporting Kc,Mls,2021
14,Amadou Dia,"$ 2,596","$ 135,000",LB,27,Reserve,"Dec 31, 2021",1-yr,"$ 135,000",Sporting Kc,Mls,2021
15,Gianluca Busio,"$ 2,404","$ 125,004",CM,18,Reserve,"Dec 31, 2021",1-yr,"$ 125,004",Sporting Kc,Mls,2021
16,Kendall McIntosh,"$ 1,853","$ 96,375",GK,27,Reserve,"Dec 31, 2021",1-yr,"$ 96,375",Sporting Kc,Mls,2021
17,Tyler Freeman,"$ 1,827","$ 95,000",LW,18,Reserve,"Dec 31, 2022",2-yrs,"$ 190,000",Sporting Kc,Mls,2021
18,Jaylin Lindsey,"$ 1,761","$ 91,547",RB,21,Starter,"Dec 31, 2021",1-yr,"$ 91,547",Sporting Kc,Mls,2021
19,Graham Smith,"$ 1,643","$ 85,444",CB,25,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Sporting Kc,Mls,2021
20,Felipe Hernández,"$ 1,565","$ 81,375",CM,22,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Sporting Kc,Mls,2021
21,Cameron Duke,"$ 1,565","$ 81,375",RB,20,Reserve,"Dec 31, 2022",2-yrs,"$ 162,750",Sporting Kc,Mls,2021
22,Wilson Harris,"$ 1,295","$ 67,360",CF,21,Reserve,"Dec 31, 2021",1-yr,"$ 67,360",Sporting Kc,Mls,2021
23,John Pulskamp,"$ 1,295","$ 67,360",GK,20,Starter,"Dec 31, 2022",2-yrs,"$ 134,720",Sporting Kc,Mls,2021
24,Parker Siegfried,"$ 1,222","$ 63,547",GK,24,Reserve,"Nov 30, 2021",1-yr,"$ 63,547",Sporting Kc,Mls,2021
25,Ozzie Cisneros,"$ 1,222","$ 63,547",AM,17,Reserve,"Dec 31, 2022",2-yrs,"$ 127,094",Sporting Kc,Mls,2021
26,Grayson Barber,"$ 1,222","$ 63,547",RW,21,Reserve,"Dec 31, 2022",2-yrs,"$ 127,094",Sporting Kc,Mls,2021
27,Brooks Thompson,"$ 1,222","$ 63,547",GK,18,Reserve,"Dec 31, 2022",2-yrs,"$ 127,094",Sporting Kc,Mls,2021
28,Kayden Pierre,$ 0,$ 0,RB,18,Reserve,"Dec 31, 2024",4-yrs,$ 0,Sporting Kc,Mls,2021
29,Kaveh Rad,$ 0,$ 0,CB,19,Reserve,"Dec 31, 2022",2-yrs,$ 0,Sporting Kc,Mls,2021
0,Alejandro Pozuelo,"$ 73,077","$ 3,800,000",AM,29,Reserve,"Dec 31, 2021",1-yr,"$ 3,800,000",Toronto FC,Mls,2021
1,Jozy Altidore,"$ 41,563","$ 2,161,250",CF,31,Reserve,"Dec 31, 2022",2-yrs,"$ 4,322,500",Toronto FC,Mls,2021
2,Michael Bradley,"$ 28,846","$ 1,500,000",CM,33,Starter,"Dec 31, 2021",1-yr,"$ 1,500,000",Toronto FC,Mls,2021
3,Jonathan Osorio,"$ 16,346","$ 850,000",CM,28,Reserve,"Dec 31, 2021",1-yr,"$ 850,000",Toronto FC,Mls,2021
4,Chris Mavinga,"$ 16,346","$ 850,000",CB,29,Starter,"Dec 31, 2022",2-yrs,"$ 1,700,000",Toronto FC,Mls,2021
5,Omar González,"$ 15,000","$ 780,000",CB,32,Starter,"Dec 31, 2021",1-yr,"$ 780,000",Toronto FC,Mls,2021
6,Marky Delgado,"$ 9,615","$ 500,000",CM,26,Starter,"Dec 31, 2021",1-yr,"$ 500,000",Toronto FC,Mls,2021
7,Alex Bono,"$ 8,654","$ 450,000",GK,27,Starter,"Dec 31, 2021",1-yr,"$ 450,000",Toronto FC,Mls,2021
8,Auro Jr,"$ 6,923","$ 360,000",RB,25,Starter,"Dec 31, 2021",1-yr,"$ 360,000",Toronto FC,Mls,2021
9,Erickson Gallardo,"$ 5,769","$ 300,000",RW,24,Reserve,"Dec 31, 2021",1-yr,"$ 300,000",Toronto FC,Mls,2021
10,Quentin Westberg,"$ 5,288","$ 275,000",GK,35,Reserve,"Dec 31, 2021",1-yr,"$ 275,000",Toronto FC,Mls,2021
11,Nick DeLeon,"$ 4,760","$ 247,500",RM,30,Starter,"Dec 31, 2021",1-yr,"$ 247,500",Toronto FC,Mls,2021
12,Patrick Mullins,"$ 4,519","$ 234,996",CF,29,Reserve,"Dec 31, 2021",1-yr,"$ 234,996",Toronto FC,Mls,2021
13,Richie Laryea,"$ 3,846","$ 200,000",RB,26,Starter,"Dec 31, 2021",1-yr,"$ 200,000",Toronto FC,Mls,2021
14,Justin Morrow,"$ 2,404","$ 125,000",LB,33,Reserve,"Dec 31, 2021",1-yr,"$ 125,000",Toronto FC,Mls,2021
15,Jacob Shaffelburg,"$ 2,115","$ 110,000",LW,21,Reserve,"Dec 31, 2021",1-yr,"$ 110,000",Toronto FC,Mls,2021
16,Noble Okello,"$ 1,923","$ 100,000",DM,20,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",Toronto FC,Mls,2021
17,Jahkeele Marshall-Rutty,"$ 1,923","$ 100,000",RW,16,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",Toronto FC,Mls,2021
18,Jayden Nelson,"$ 1,923","$ 100,000",LW,18,Starter,"Dec 31, 2021",1-yr,"$ 100,000",Toronto FC,Mls,2021
19,Tsubasa Endoh,"$ 1,923","$ 100,000",RW,27,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",Toronto FC,Mls,2021
20,Ayo Akinola,"$ 1,721","$ 89,513",CF,21,Starter,"Dec 31, 2021",1-yr,"$ 89,513",Toronto FC,Mls,2021
21,Julian Dunn,"$ 1,643","$ 85,444",CB,20,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Toronto FC,Mls,2021
22,Eriq Zavaleta,"$ 1,565","$ 81,375",CB,28,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Toronto FC,Mls,2021
23,Ralph Priso-Mbongue,"$ 1,283","$ 66,724",DM,18,Starter,"Dec 31, 2021",1-yr,"$ 66,724",Toronto FC,Mls,2021
24,Kevin Silva,"$ 1,283","$ 66,724",GK,23,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Toronto FC,Mls,2021
25,Ifunanyachi Achara,"$ 1,283","$ 66,724",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Toronto FC,Mls,2021
26,Jordan Perruzza,"$ 1,222","$ 63,547",CF,20,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Toronto FC,Mls,2021
27,Yeferson Soteldo,$ 0,$ 0,LW,23,Reserve,"Dec 31, 2024",4-yrs,$ 0,Toronto FC,Mls,2021
28,Kemar Lawrence,$ 0,$ 0,LB,28,Reserve,"Dec 31, 2024",4-yrs,$ 0,Toronto FC,Mls,2021
29,Dom Dwyer,$ 0,$ 0,CF,30,Reserve,"Dec 31, 2022",2-yrs,$ 0,Toronto FC,Mls,2021
30,Luke Singh,$ 0,$ 0,CB,19,Reserve,"Dec 31, 2025",5-yrs,$ 0,Toronto FC,Mls,2021
0,Ali Adnan,"$ 22,115","$ 1,149,996",LB,27,Reserve,"Dec 31, 2021",1-yr,"$ 1,149,996",Vancouver Whitecaps,Mls,2021
1,Lucas Cavallini,"$ 21,154","$ 1,100,000",CF,28,Starter,"Dec 31, 2022",2-yrs,"$ 2,200,000",Vancouver Whitecaps,Mls,2021
2,Caio Alexandre,"$ 9,615","$ 500,000",CM,22,Starter,"Dec 31, 2024",4-yrs,"$ 2,000,000",Vancouver Whitecaps,Mls,2021
3,Érik Godoy,"$ 8,654","$ 450,000",CB,27,Reserve,"Dec 31, 2022",2-yrs,"$ 900,000",Vancouver Whitecaps,Mls,2021
4,Cristian Dájome,"$ 7,692","$ 400,000",LW,27,Starter,"Dec 31, 2021",1-yr,"$ 400,000",Vancouver Whitecaps,Mls,2021
5,Ranko Veselinovic,"$ 6,923","$ 360,000",CB,22,Starter,"Dec 31, 2023",3-yrs,"$ 1,080,000",Vancouver Whitecaps,Mls,2021
6,Janio Bikel,"$ 6,731","$ 350,000",CM,25,Starter,"Dec 31, 2021",1-yr,"$ 350,000",Vancouver Whitecaps,Mls,2021
7,Leonard Owusu,"$ 6,731","$ 350,000",CM,23,Reserve,"Dec 31, 2022",2-yrs,"$ 700,000",Vancouver Whitecaps,Mls,2021
