"","Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"2030","Jason","ESP","Levante","La Liga","2018-2019","1682.22","24","26","MF,DF","OffensiveWideProgressor","2330","26","9.54","90.46","Right","1.36","0","4.82","1.65","0.19","451245","1247838","","",""
"2031","William Carvalho","POR","Betis","La Liga","2018-2019","1682.82","26","28","MF","DefensiveCentralProgressor","2385","26","13.33","86.67","Right","1.36","0.01","3.4","1.42","0.13","","","20000000","",""
"2032","Koke","ESP","Atletico Madrid","La Liga","2018-2019","1874.54","26","28","MF","AttackingCentralProgressor","2586","29","8.98","91.02","Right","1.36","-0.01","4.5","1.75","0.16","18032838","8989990","","",""
"2033","Lukasz Piszczek","POL","Dortmund","Bundesliga","2018-2019","1822.8","33","35","DF","DefensiveWideProgressor","1756","20","8.17","91.83","Right","1.36","0.03","3.72","0.99","0.19","3268417","2316596","","",""
"2034","Nils Petersen","GER","Freiburg","Bundesliga","2019-2020","1660.59","30","32","FW,MF","Finisher","2436","24","26.09","73.91","Right","1.36","-0.06","4.91","1.5","0.18","901359","1548341","5000000","5525227",""
"2035","Jonny Castro","ESP","Wolves","Premier League","2019-2020","1782.63","25","26","DF","OffensiveWideProgressor","2887","33","31.51","68.49","Right","1.35","-0.03","4.82","1.65","0.15","2517282","3699701","","",""
"2036","Nestor Araujo","MEX","Celta Vigo","La Liga","2018-2019","1677.45","26","29","DF","LowBlockCentralDefender","2682","30","14.73","85.27","Right","1.35","0","3.84","1.4","0.13","1714505","1671381","7000000","",""
"2037","Alexander Djiku","GHA","Strasbourg","Ligue 1","2019-2020","1577.77","24","26","DF,MF","PossessionOrientedCentralDefender","2064","23","16.35","83.65","Right","1.35","0.04","4.42","1.62","0.19","","","6500000","5672347",""
"2038","Jamie Vardy","ENG","Leicester City","Premier League","2020-2021","1795.25","33.98","33","FW","Finisher","1211","13","26.32","73.68","Right","1.34","0.13","5.16","1.75","0.38","","","16000000","",""
"2039","Raphael Varane","FRA","Real Madrid","La Liga","2018-2019","1837.72","25","27","DF","PossessionOrientedCentralDefender","2754","31","37.11","62.89","Right","1.34","-0.01","4.41","1.62","0.14","11722193","8074742","70000000","",""
"2040","Boubacar Kamara","FRA","Marseille","Ligue 1","2019-2020","1678.85","19","21","DF,MF","PossessionOrientedCentralDefender","2139","24","10.13","89.87","Right","1.34","0","3.53","0.73","0.15","338151","1041782","27000000","21716440",""
"2041","Lukasz Piszczek","POL","Dortmund","Bundesliga","2017-2018","1737.74","32","35","DF","OffensiveWideProgressor","2138","24","12.15","87.85","Right","1.34","0.03","5.01","1.83","0.21","","","","",""
"2042","Nacho Vidal","ESP","Osasuna","La Liga","2019-2020","1695.54","24","25","DF","DefensiveWideProgressor","2332","26","7.81","92.19","Right","1.34","0","4.28","1.55","0.17","","","2500000","5534083",""
"2043","Adam Szalai","HUN","Hoffenheim","Bundesliga","2018-2019","1726.84","30","33","FW","Finisher","1627","15","19.74","80.26","Right","1.34","0.03","4.89","1.48","0.27","3392820","3699221","","",""
"2044","Andriy Yarmolenko","UKR","Dortmund","Bundesliga","2017-2018","1737.74","27","31","FW,MF","Dribbler","1039","13","74.58","25.42","Left","1.34","0.15","4.53","1.53","0.39","","","","",""
"2045","Lorenzo De Silvestri","ITA","Torino","Serie A","2019-2020","1581.91","31","32","DF","DefensiveWideProgressor","2243","28","11.82","88.18","Right","1.33","-0.01","3.7","0.97","0.15","1885277","1847273","2500000","2495948",""
"2046","Remo Freuler","SUI","Atalanta","Serie A","2019-2020","1844.2","27","28","MF","AttackingCentralProgressor","2337","28","18.24","81.76","Right","1.33","0.01","4.48","1.73","0.17","1047250","1615430","23000000","39211883",""
"2047","Wayne Rooney","ENG","Everton","Premier League","2017-2018","1695.62","31","35","MF,FW","AttackingCentralProgressor","2268","27","9.24","90.76","Right","1.33","0","3.91","1.16","0.16","","","","",""
"2048","Cristian Casseres Jr.","VEN","NY Red Bulls","MLS","2019","","19","20","MF","OffensiveWideProgressor","1797","21","16.34","83.66","Right","1.33","-0.01","3.13","-0.04","0.16","","","","","192273"
"2049","Jordon Ibe","ENG","Bournemouth","Premier League","2017-2018","1669.7","21","25","MF,FW","Dribbler","1995","22","16.4","83.6","Right","1.33","-0.04","4.39","1.39","0.2","","","","",""
"2050","Jordan Ikoko","COD","Guingamp","Ligue 1","2017-2018","1558.25","23","26","DF","OffensiveWideProgressor","2420","26","17.25","82.75","Right","1.33","-0.02","4.09","0.91","0.15","","","","",""
"2051","Daniel Congre","FRA","Montpellier","Ligue 1","2017-2018","1590.91","32","35","DF","PossessionOrientedCentralDefender","2635","29","28.9","71.1","Right","1.33","-0.02","4.09","1.3","0.14","","","400000","",""
"2052","Janik Haberer","GER","Freiburg","Bundesliga","2017-2018","1572.85","23","26","MF,FW","AttackingCentralProgressor","2748","31","17.29","82.71","Right","1.33","-0.03","3.93","1.19","0.13","","","8000000","",""
"2053","Frenkie de Jong","NED","Barcelona","La Liga","2019-2020","1964.47","22","23","MF","AttackingCentralProgressor","2115","24","5.3","94.7","Right","1.33","0.01","3.93","1.18","0.17","","","70000000","62570767",""
"2054","Maxime Le Marchand","FRA","Fulham","Premier League","2018-2019","1585.52","28","31","DF","LowBlockCentralDefender","2250","25","84.24","15.76","Left","1.33","0.02","3.81","1.38","0.15","1715129","1997011","","",""
"2055","Ruben Pena","ESP","Villarreal","La Liga","2019-2020","1771.16","28","29","DF","DefensiveWideProgressor","1909","21","14.64","85.36","Right","1.32","0.04","4.26","1.53","0.2","","","","",""
"2056","Craig Cathcart","NIR","Watford","Premier League","2018-2019","1685.23","29","31","DF","LowBlockCentralDefender","3096","35","31.74","68.26","Right","1.32","-0.02","3.81","1.38","0.11","1577919","1890086","4000000","",""
"2057","Mattia Bani","ITA","Bologna","Serie A","2019-2020","1584.17","25","27","DF","PossessionOrientedCentralDefender","2207","26","8.45","91.55","Right","1.32","0.02","4.4","1.6","0.18","","","3200000","3888333",""
"2058","Oier Sanjurjo","ESP","Osasuna","La Liga","2019-2020","1695.54","33","34","MF","DefensiveCentralProgressor","2320","27","15.8","84.2","Right","1.32","0.01","3.32","1.34","0.13","","","","",""
"2059","Will Hughes","ENG","Watford","Premier League","2018-2019","1685.23","23","25","MF,FW","AttackingCentralProgressor","2418","31","78.26","21.74","Left","1.32","-0.01","3.92","1.18","0.15","2058155","3540371","14500000","",""
"2060","Faitout Maouassa","FRA","Nimes","Ligue 1","2018-2019","1570.43","20","22","DF","DefensiveWideProgressor","2137","25","88.71","11.29","Left","1.31","0.01","3.92","1.18","0.16","946597","959510","","",""
"2061","Unai Bustinza","ESP","Leganes","La Liga","2019-2020","1663.56","27","28","DF","PossessionOrientedCentralDefender","2684","31","4.37","95.63","Right","1.31","-0.01","4.39","1.59","0.15","758861","1591479","","",""
"2062","Tomas Rincon","VEN","Torino","Serie A","2017-2018","1677.54","29","32","MF","DefensiveCentralProgressor","2995","35","10.78","89.22","Right","1.31","-0.02","3.35","1.37","0.1","","","4500000","",""
"2063","Kieran Gibbs","ENG","West Brom","Premier League","2017-2018","1617.33","27","31","DF","DefensiveWideProgressor","2827","32","87.38","12.62","Left","1.31","-0.03","4.25","1.52","0.14","","","","",""
"2064","Manuel Lazzari","ITA","Lazio","Serie A","2019-2020","1735.73","25","27","DF","OffensiveWideProgressor","2548","29","12.3","87.7","Right","1.31","-0.01","4.78","1.6","0.17","","","18000000","17588297",""
"2065","Diego Llorente","ESP","Real Sociedad","La Liga","2019-2020","1739.98","25","27","DF","PossessionOrientedCentralDefender","2327","27","20.08","79.92","Right","1.31","0.01","4.39","1.59","0.17","1851349","1446793","20000000","20125050",""
"2066","Sven Bender","GER","Leverkusen","Bundesliga","2019-2020","1795.39","30","31","DF","PossessionOrientedCentralDefender","2726","33","19.79","80.21","Right","1.31","-0.01","4.39","1.59","0.14","5635474","3037607","7000000","11407157",""
"2067","Francesco Vicari","ITA","SPAL","Serie A","2017-2018","1554.81","22","26","DF","PossessionOrientedCentralDefender","2850","34","9.52","90.48","Right","1.31","-0.03","3.85","1.05","0.12","","","4000000","",""
"2068","Jonathan Mensah","GHA","Columbus","MLS","2018","","27","30","DF","PossessionOrientedCentralDefender","2347","26","9.7","90.3","Right","1.31","0.01","4.38","1.58","0.17","868996","732616","800000","","269060"
"2069","John Lundstram","ENG","Sheffield Utd","Premier League","2019-2020","1697.96","25","26","MF","AttackingCentralProgressor","2458","26","28.57","71.43","Right","1.31","0","4.45","1.7","0.16","","","8000000","7649693",""
"2070","Ander Capa","ESP","Eibar","La Liga","2017-2018","1723.54","25","28","DF","OffensiveWideProgressor","2256","25","8.72","91.28","Right","1.31","0.01","4.77","1.6","0.19","","","","",""
"2071","Renato Sanches","POR","Lille","Ligue 1","2019-2020","1662.4","21","23","MF,FW","AttackingCentralProgressor","1483","16","10.68","89.32","Right","1.31","0.08","3.91","1.16","0.24","","","20000000","18067390",""
"2072","Thomas Meunier","BEL","Paris S-G","Ligue 1","2017-2018","1878.75","25","29","DF","OffensiveWideProgressor","1577","16","12.8","87.2","Right","1.3","0.09","4.77","1.6","0.27","","","24000000","",""
"2073","Nenad Tomovic","SRB","Chievo","Serie A","2017-2018","1557.81","29","33","DF","LowBlockCentralDefender","2301","26","16.65","83.35","Right","1.3","0.02","3.79","1.36","0.15","","","","",""
"2074","Tammy Abraham","ENG","Swansea City","Premier League","2017-2018","1615.29","19","23","FW,MF","Finisher","1726","15","9.76","90.24","Right","1.3","-0.08","3.54","0.13","0.18","","","","",""
"2075","Victor Rodriguez","ESP","Seattle","MLS","2018","","28","31","FW,MF","Dribbler","1257","14","26.02","73.98","Right","1.3","0.08","4.49","1.49","0.32","1087500","853228","","","275817"
"2076","Lucas Tousart","FRA","Lyon","Ligue 1","2017-2018","1764.4","20","23","MF","DefensiveCentralProgressor","3132","37","11.56","88.44","Right","1.3","-0.03","3.25","1.27","0.09","","","20000000","",""
"2077","Maya Yoshida","JPN","Southampton","Premier League","2017-2018","1649.49","28","32","DF","LowBlockCentralDefender","2051","23","17.59","82.41","Right","1.3","0.04","3.78","1.35","0.17","","","3800000","",""
"2078","Martin Harnik","AUT","Hannover 96","Bundesliga","2017-2018","1575.5","30","33","FW,MF","Finisher","1888","21","22.63","77.37","Right","1.29","-0.01","4.85","1.44","0.23","","","","",""
"2079","Ludovic Ajorque","REU","Strasbourg","Ligue 1","2019-2020","1577.77","25","26","FW","Finisher","2058","24","69.21","30.79","Left","1.29","-0.03","4.84","1.44","0.21","691004","1134768","6800000","9090963",""
"2080","Wilfried Zahibo","CTA","New England","MLS","2019","","25","27","MF","DefensiveCentralProgressor","1505","18","14","86","Right","1.29","0.08","3.33","1.35","0.2","583000","386236","","","204559"
"2081","Jonny Evans","NIR","West Brom","Premier League","2017-2018","1617.33","29","32","DF","LowBlockCentralDefender","2270","26","38.83","61.17","Right","1.29","0.02","3.78","1.35","0.15","","","","",""
"2082","Marko Rog","CRO","Cagliari","Serie A","2019-2020","1585.66","24","25","MF","AttackingCentralProgressor","2317","28","7.71","92.29","Right","1.29","0.01","4.44","1.69","0.17","","","13000000","10902260",""
"2083","Jonas Martin","FRA","Strasbourg","Ligue 1","2017-2018","1482.96","27","30","MF,FW","AttackingCentralProgressor","3024","36","12.65","87.35","Right","1.29","-0.03","4.43","1.69","0.13","","","","",""
"2084","Mohamed Simakan","FRA","Strasbourg","Ligue 1","2019-2020","1577.77","19","20","DF","PossessionOrientedCentralDefender","1503","17","10.87","89.13","Right","1.29","0.06","3.48","0.69","0.21","","","12000000","12314837",""
"2085","Bernardo Espinosa","COL","Girona","La Liga","2018-2019","1622.19","29","31","DF","LowBlockCentralDefender","2727","31","17.65","82.35","Right","1.29","-0.01","3.78","1.34","0.12","927371","1641698","","",""
"2086","Ashley Westwood","ENG","Burnley","Premier League","2019-2020","1726.9","29","30","MF","AttackingCentralProgressor","3150","35","5.78","94.22","Right","1.29","-0.04","4.43","1.69","0.13","2126760","3921554","5500000","10106037",""
"2087","Luca Cigarini","ITA","Cagliari","Serie A","2019-2020","1585.66","33","34","MF","DefensiveCentralProgressor","1598","19","11.42","88.58","Right","1.29","0.07","3.29","1.31","0.19","","","800000","1244931",""
"2088","Erling Haland","NOR","Dortmund","Bundesliga","2020-2021","1824.33","20.45","20","FW","Finisher","651","7","77.78","22.22","Left","1.29","0.34","4.24","0.83","0.59","","","","",""
"2089","Rafinha","BRA","Bayern Munich","Bundesliga","2017-2018","1943.77","31","35","DF","DefensiveCentralProgressor","1851","19","19.57","80.43","Right","1.29","0.04","3.29","1.31","0.16","","","","",""
"2090","Dele Alli","ENG","Tottenham","Premier League","2018-2019","1890.94","22","24","MF,FW","Playmaker","1825","22","4.55","95.45","Right","1.28","0.03","4.99","1.3","0.25","6860516","5577742","64000000","",""
"2091","Denis Suarez","ESP","Celta Vigo","La Liga","2019-2020","1668.71","25","26","MF,FW","Playmaker","1630","20","15.18","84.82","Right","1.28","0.05","5.2","1.51","0.29","","","10000000","10503180",""
"2092","Victor Ruiz","ESP","Villarreal","La Liga","2017-2018","1759.18","28","31","DF","LowBlockCentralDefender","2416","27","79.48","20.52","Left","1.28","0.01","3.77","1.34","0.14","","","","",""
"2093","Auro","BRA","Toronto FC","MLS","2019","","23","24","DF","OffensiveWideProgressor","1883","22","6.88","93.12","Right","1.28","0.02","4.04","0.87","0.19","276667","407553","850000","","248174"
"2094","Nicolas Gaitan","ARG","Chicago","MLS","2019","","30","32","MF","Playmaker","2006","25","90.28","9.72","Left","1.28","0","5.19","1.51","0.23","2197504","1686848","","","318817"
"2095","Terence Kongolo","NED","Huddersfield","Premier League","2018-2019","1522.12","24","26","DF","PossessionOrientedCentralDefender","2716","32","88","12","Left","1.28","-0.01","4.36","1.56","0.14","2401181","3499571","","",""
"2096","Tomas Rincon","VEN","Torino","Serie A","2018-2019","1692.6","30","32","MF","AttackingCentralProgressor","2799","32","11.59","88.41","Right","1.27","-0.02","4.42","1.67","0.14","2932527","3113035","4500000","",""
"2097","Wil Trapp","USA","Columbus","MLS","2019","","26","27","MF","DefensiveCentralProgressor","2330","26","10.98","89.02","Right","1.27","0.01","3.31","1.33","0.13","593746","528414","","","203330"
"2098","Oscar Rodriguez Arnaiz","ESP","Leganes","La Liga","2018-2019","1667.23","20","22","MF,FW","Playmaker","2504","29","12.59","87.41","Right","1.27","-0.04","4.97","1.29","0.18","","","","",""
"2099","Morgan Sanson","FRA","Marseille","Ligue 1","2019-2020","1678.85","24","26","MF","Dribbler","2173","26","16.88","83.12","Right","1.27","-0.05","4.46","1.47","0.18","2705208","2584127","22500000","10554543",""
"2100","Guilherme","BRA","La Coruna","La Liga","2017-2018","","26","29","MF","DefensiveCentralProgressor","2637","31","8.56","91.44","Right","1.27","-0.01","3.31","1.33","0.11","","","","",""
"2101","Toni Villa","ESP","Valladolid","La Liga","2018-2019","1613.73","23","25","MF,FW","Dribbler","1762","21","11.88","88.12","Right","1.27","-0.02","4.32","1.33","0.22","747551","1585267","2500000","",""
"2102","Robin Le Normand","FRA","Real Sociedad","La Liga","2019-2020","1739.98","22","24","DF","PossessionOrientedCentralDefender","2394","25","11.02","88.98","Right","1.27","0","3.81","1.01","0.14","88213","1414060","15000000","21238050",""
"2103","Marcelo","BRA","Real Madrid","La Liga","2018-2019","1837.72","30","32","DF","OffensiveWideProgressor","1853","21","84.33","15.67","Left","1.27","0.05","4.73","1.56","0.23","22618800","15340268","12000000","",""
"2104","Lars Bender","GER","Leverkusen","Bundesliga","2017-2018","1704.82","28","31","DF,MF","DefensiveWideProgressor","1595","20","14.86","85.14","Right","1.27","0.08","4.21","1.47","0.24","","","7000000","",""
"2105","Timothy Castagne","BEL","Atalanta","Serie A","2019-2020","1844.2","23","25","DF","OffensiveWideProgressor","1769","19","15.67","84.33","Right","1.26","0.03","4.02","0.85","0.2","838027","1728105","18000000","31843867",""
"2106","Maxime Poundje","FRA","Bordeaux","Ligue 1","2018-2019","1553.36","25","28","DF","DefensiveWideProgressor","2537","28","87.14","12.86","Left","1.26","-0.01","4.2","1.47","0.15","473864","1040277","","",""
"2107","Gabriel Paulista","BRA","Valencia","La Liga","2017-2018","1797.27","26","30","DF","LowBlockCentralDefender","2586","29","9.42","90.58","Right","1.26","0","3.75","1.31","0.13","","","15000000","",""
"2108","Alexander Callens","PER","NYCFC","MLS","2019","","26","28","DF","LowBlockCentralDefender","2160","24","82.84","17.16","Left","1.26","0.03","3.75","1.31","0.16","664000","449298","1200000","","230359"
"2109","Thilo Kehrer","GER","Paris S-G","Ligue 1","2018-2019","1824.47","21","24","DF","PossessionOrientedCentralDefender","1902","19","33.7","66.3","Right","1.26","0.03","3.8","1","0.18","5654700","2486183","28000000","",""
"2110","Jens Stryger Larsen","DEN","Udinese","Serie A","2017-2018","1554.6","26","29","DF","DefensiveWideProgressor","2531","28","11.56","88.44","Right","1.26","-0.01","4.2","1.46","0.15","","","3000000","",""
